word	emo_score	emotion
(-;	1	posi
(;_;)	-1	nega
(^^)	1	posi
(^-^)	1	posi
(^^*	1	posi
(^_^)	1	posi
(^_^;	-1	nega
(^o^)	1	posi
(-_-)	-1	nega
(T_T)	-1	nega
(ㅡㅡ)	-1	nega
)-:	-1	nega
*^^*	1	posi
/^o^\	1	posi
:(	1	posi
:'-(	1	posi
:-(	1	posi
:)	-1	nega
:-)	1	posi
:/	-1	nega
:|	1	posi
:D	-1	nega
:-D	-1	nega
:-P	-1	nega
;	1	posi
;)	1	posi
;-)	1	posi
;ㅅ;	-1	nega
^///^	1	posi
^^	1	posi
^^//	1	posi
^-^;	-1	nega
^-^;;	-1	nega
^-^;;;;;	-1	nega
-_-^	-1	nega
<3	1	posi
=)	1	posi
XD	1	posi
ㄱㅅ	1	posi
ㄱㅇㄷ	1	posi
가격이 싸다	1	posi
가까이 사귀어	1	posi
가까이하다	1	posi
가꾸러뜨리다	-1	nega
가꾸러트리다	-1	nega
가난	-2	nega
가난뱅이	-2	nega
가난살이	-2	nega
가난살이하다	-2	nega
가난설음	-2	nega
가난에	-2	nega
가난에 쪼들려서	-2	nega
가난하게	-2	nega
가난하고	-2	nega
가난하고 어렵다	-2	nega
가난하고 천한	-2	nega
가난하다	-2	nega
가난하여	-2	nega
가난한	-2	nega
가난한 데다가	-2	nega
가난한 사람을	-2	nega
가난히	-2	nega
가년스럽다	-2	nega
가념하다	-1	nega
가녕스럽다	-2	nega
가누기 어려워하다	-1	nega
가누지 못하고	-2	nega
가누지 못하다	-2	nega
가누지 못할	-2	nega
가누지 못할 정도로	-2	nega
가누지 못함	-2	nega
가눌 수 없게	-2	nega
가눌 수 없을	-2	nega
가눌 수 없이	-2	nega
가능성이 늘어나다	2	posi
가능성이 있다고	2	posi
가능하다	2	posi
가닐가닐하다	-1	nega
가다듬어	1	posi
가다듬어 수습하는	1	posi
가다듬어 수습하다	1	posi
가다듬어 정하다	1	posi
가당찮다	-2	nega
가당찮이	-2	nega
가당히	1	posi
가두거나	-1	nega
가두거나 해치거나	-2	nega
가드올려	-1	nega
가뜬하게	1	posi
가라앉혀 바로잡다	1	posi
가래	-1	nega
가래 따위가	-1	nega
가래가	-1	nega
가래가 섞인	-1	nega
가량맞고	-1	nega
가량맞고 야살스러운	-1	nega
가량맞고 야살스러움	-1	nega
가려서 좋아하다	-1	nega
가려운	-1	nega
가려운 느낌이	-1	nega
가려운 증상을	-1	nega
가련하게	-1	nega
가련하게 여기다	-1	nega
가련하게 여김	-1	nega
가련한	-1	nega
가련한 듯하다	-1	nega
가렵고	-1	nega
가로막아서	-1	nega
가로채서	-1	nega
가로채어	-1	nega
가르치며	1	posi
가르침	1	posi
가리지 못하다	-1	nega
가마득하다	-1	nega
가만있지 못하고	-1	nega
가망 없는	-1	nega
가망이 없게	-2	nega
가벼운 마음으로	1	posi
가벼운 말이나	-1	nega
가벼운 상처	-1	nega
가벼운 슬픔	-1	nega
가벼운 행동으로	-1	nega
가볍게	-1	nega
가볍게 까부는	-1	nega
가볍게 까불다	-1	nega
가볍게 쑤시듯	-1	nega
가볍게 웃다	1	posi
가볍게 채신없이	-1	nega
가볍게 행동하거나	-1	nega
가볍게 행동하는	-1	nega
가볍게 행동하다	-1	nega
가볍고	1	posi
가볍고 보드랍게	1	posi
가볍고 상쾌하다	2	posi
가볍고 상쾌한	2	posi
가볍고 시원하게	2	posi
가볍고 편안하게	2	posi
가볍고 환하게	2	posi
가분가분	1	posi
가분히	1	posi
가뿐가뿐	1	posi
가뿐가뿐하다	1	posi
가뿐가뿐히	1	posi
가뿐하게	1	posi
가뿐하다	1	posi
가뿐한	1	posi
가뿐한 느낌	1	posi
가뿐한 느낌이	1	posi
가뿐히	1	posi
가쁘게	-1	nega
가쁘게 쉬다	-1	nega
가쁘고	-1	nega
가쁘고 거칠게	-1	nega
가쁘고 급하게	-1	nega
가쁜	-1	nega
가쁜 증상	-1	nega
가살스럽다	-1	nega
가소롭게	-1	nega
가소롭다	-1	nega
가스 중독이나	-1	nega
가슴 아파하다	-2	nega
가슴 아파함	-2	nega
가슴 아프게	-2	nega
가슴 아프고	-2	nega
가슴 아프다	-2	nega
가슴속에 근심이나	-2	nega
가슴앓이	-2	nega
가슴앓이하다	-2	nega
가슴이 갑갑할	-2	nega
가슴이 괴롭거나	-2	nega
가슴이 그득한	-2	nega
가슴이 답답하고	-2	nega
가슴이 답답하다	-2	nega
가슴이 답답하며	-2	nega
가슴이 답답하여	-1	nega
가슴이 답답한	-1	nega
가슴이 답답해진다	-1	nega
가슴이 아프다	-2	nega
가슴이 아픈	-2	nega
가슴이 울렁거리는	-2	nega
가슴이 울렁거리다	-2	nega
가슴이 찢어질	-2	nega
가습이 답답하고	-1	nega
가엽다	-1	nega
가엾게	-1	nega
가엾게 여겨	-1	nega
가엾게 여기다	-1	nega
가엾고	-1	nega
가엾고 불쌍하다	-2	nega
가엾고 불쌍하여	-2	nega
가엾고 불쌍한	-2	nega
가엾고 불쌍함	-2	nega
가엾고 애처롭다	-2	nega
가엾다	-1	nega
가운데에서 뛰어남	2	posi
가위눌리다	-1	nega
가음 아프고	-2	nega
가장 거룩한	2	posi
가장 뛰어나	2	posi
가장 뛰어난	2	posi
가장 올바르게	2	posi
가장 좋은	2	posi
가장 중요한	1	posi
가증맞다	-1	nega
가증스럽다	-1	nega
가지런하게 하는	1	posi
가지런하게 하다	1	posi
가지런하다	1	posi
가지런하지 아니하다	-1	nega
가지런하지 아니한	-1	nega
가짜	-2	nega
가책이 되어	-1	nega
가치	1	posi
가치 없는	-2	nega
가치 있는	2	posi
가치 있다	2	posi
가치가	1	posi
가치가 없다	-2	nega
가치가 없을	-2	nega
가치가 없이	-2	nega
가치가 있다	2	posi
가치를 믿다	2	posi
가치를 인정하다	2	posi
가치보다 비싼	-1	nega
가치없는	-2	nega
가치있는	1	posi
가치작거리는	-1	nega
가치작거리는 모양	-1	nega
가치작거리는 소리	-1	nega
가탈스럽다	-1	nega
가혹하게	-2	nega
가혹하게 착취하여	-2	nega
각근하지 못하여	-1	nega
각별나다	1	posi
각별하다	1	posi
간 장애	-2	nega
간 질환의	-1	nega
간드러진	2	posi
간드러진 느낌이	2	posi
간사스럽게	-1	nega
간사스럽게 행동하는	-1	nega
간사스럽게 행동하다	-1	nega
간사하고	-1	nega
간사하다	-1	nega
간사한	-1	nega
간사한 사람이나	-1	nega
간사한 짓을	-2	nega
간섭받고	-1	nega
간섭하거나	-1	nega
간섭하거나 방해하여	-1	nega
간섭하고	-1	nega
간섭하다	-1	nega
간섭하여	-1	nega
간신히 짜내는	-1	nega
간절하다	2	posi
간지러워서	-1	nega
간지럽게	-1	nega
간지럽고	-1	nega
간지럽고 자릿한	-1	nega
간직하다	1	posi
간직하지 아니하고	-1	nega
간질	-1	nega
간질간질하다	-1	nega
간질간질한	-1	nega
간질간질한 느낌	-1	nega
간편하거나	2	posi
간편하다	2	posi
갈강병균이	-1	nega
갈라서다	-1	nega
갈라지는 피부병	-1	nega
갈색굳음병	-1	nega
갈증이 나고	-1	nega
갈증이 심하게	-1	nega
갈팡질팡	-1	nega
갈팡질팡하다	-1	nega
갈팡질팡하며	-1	nega
갈피를 잡을 수 없다	-1	nega
갈피를 잡지 못하고	-1	nega
갈피를 잡지 못하고 이리저리 헤매는 모양	-1	nega
갈피를 잡지 못하는	-1	nega
갈피를 잡지 못하다	-1	nega
감각이 둔하고	-1	nega
감각이 마비되고	-1	nega
감각적이다	1	posi
감감히	-1	nega
감개무량하다	2	posi
감격	2	posi
감격성	2	posi
감격스럽다	2	posi
감격스레	2	posi
감격이	2	posi
감격적	2	posi
감격하다	2	posi
감격하여	2	posi
감금하여	-2	nega
감기	-1	nega
감기가	-1	nega
감기가 들어	-1	nega
감기나	-1	nega
감기나 천식	-1	nega
감기로	-1	nega
감기로 인하여	-1	nega
감당하다	1	posi
감동	2	posi
감동시킬	1	posi
감동시킬 만한	1	posi
감동을 받아	2	posi
감동을 일으킬	2	posi
감동을 주거나	2	posi
감동이	2	posi
감동이 되는	2	posi
감동이나	2	posi
감동이나 고마움을	2	posi
감동하는	2	posi
감동하다	2	posi
감동하여	2	posi
감동함	2	posi
감명되다	2	posi
감명적	2	posi
감명하다	2	posi
감모	1	posi
감미롭다	2	posi
감병	-1	nega
감복하다	2	posi
감복하여	2	posi
감사	2	posi
감사를 표하다	2	posi
감사하는	2	posi
감사하는 마음으로	2	posi
감사하다	2	posi
감싸고	1	posi
감옥	-1	nega
감옥에	-1	nega
감정 사납게	-1	nega
감정을 건드려	-1	nega
감정의 불화	-2	nega
감정이 거칠어져	-1	nega
감정이 북받쳐	1	posi
감칠맛이 있을	2	posi
감탄	2	posi
감탄스러울	2	posi
감탄스러울 때	2	posi
감탄스럽다	2	posi
감탄적으로	2	posi
감탄하다	2	posi
감탄할	2	posi
감탄할 때	2	posi
감회가 새롭거나	2	posi
감회에 젖음	2	posi
갑갑궁금하다	-1	nega
갑갑하고 궁금하다	-1	nega
갑갑하다	-1	nega
갑갑한	-1	nega
갑갑한 증상	-1	nega
갑갑할	-1	nega
갑갑할 정도로	-1	nega
갑분띠	-1	nega
갑분싸	-1	nega
갑자기 게우는	-1	nega
갑자기 놀라거나	-1	nega
갑자기 놀라서	-1	nega
갑자기 무섭거나	-1	nega
갑자기 분별없이	-1	nega
갑자기 서늘한	-1	nega
갑자기 서늘한서늘한 느낌이	-1	nega
갑자기 성을	-1	nega
갑자기 소란스럽게	-1	nega
갑자기 소름이	-1	nega
갑자기 어지러워	-1	nega
갑작스러워 두렵거나	-1	nega
갑작스럽게 화를	-1	nega
값을 매길 수 없을 만큼	2	posi
값진	2	posi
강간죄	-2	nega
강개무량	-2	nega
강개무량하다	-2	nega
강도가	-1	nega
강등하여	-1	nega
강렬하게	1	posi
강박	-1	nega
강박하여	-1	nega
강세	1	posi
강인하다	1	posi
강인한	2	posi
강제로	-1	nega
강제로 누르는	-1	nega
강제로 누르다	-2	nega
강제로 누름	-2	nega
강제로 빼앗는	-1	nega
강제로 빼앗다	-1	nega
강제로 빼앗아	-2	nega
강제로 빼앗음	-1	nega
강제로 요구하다	-1	nega
강제적으로	-2	nega
강추	2	posi
강탈	-2	nega
강탈하다	-2	nega
강퇴	-1	nega
강하게	1	posi
강하게 만들다	2	posi
강하게 하다	1	posi
강하고	1	posi
강하고 야무지게	2	posi
강하고 야무지다	2	posi
강하고 튼튼하게	2	posi
강하다	1	posi
강한 비판이나	-2	nega
강한 충격을	-1	nega
강화하다	1	posi
갖지 아니하게	-1	nega
갖추다	1	posi
갖추지 못한	-1	nega
같잖다	-1	nega
같잖아서	-1	nega
같잖아서 우스운	-1	nega
같잖은	-1	nega
같잖은 꼴로	-1	nega
갚지 않다	-1	nega
개가 무섭거나	-1	nega
개가 아프거나	-1	nega
개선	2	posi
개선 방도를	2	posi
개선하고	1	posi
개선하다	2	posi
개선함	2	posi
개성	1	posi
개성있는	1	posi
개성있다	1	posi
개운치 않거나	-1	nega
개운하게	2	posi
개운하고	2	posi
개운하고 시원한	2	posi
개운하고 홀가분해지다	2	posi
개운하다	2	posi
개운하지 않고	-1	nega
개으름을	-1	nega
개이득	2	posi
개짓하다	-2	nega
갠소	1	posi
갸륵한	1	posi
갸륵한 데가	1	posi
갸름하다	1	posi
거꾸러뜨리다	-1	nega
거꾸로 넘어지거나	-1	nega
거두지 못한	-1	nega
거드럭거드럭	-1	nega
거드럭거리다	-1	nega
거들먹거들먹	-1	nega
거들먹거들먹하다	-1	nega
거들먹거리다	-1	nega
거들먹대다	-1	nega
거들먹이다	-1	nega
거듭 따뜻이	2	posi
거듭 죄를	-1	nega
거뜬하다	2	posi
거래가 금지된	-1	nega
거룩한	2	posi
거룩한 모습	2	posi
거룩한 사람	2	posi
거리끼어	-1	nega
거리낌 없이	1	posi
거만스럽게	-2	nega
거만을	-2	nega
거만을 떠는	-2	nega
거만을 떨다	-2	nega
거만하게	-2	nega
거만하게 행동하는	-2	nega
거만하게 행동하다	-2	nega
거만하고	-2	nega
거만하다	-2	nega
거만한	-1	nega
거만한 태도로	-2	nega
거무스름한 피고름이	-1	nega
거볍게 까부는	-1	nega
거볍게 성을	-1	nega
거볍게 채신없이	-1	nega
거볍게 행동하거나	-1	nega
거볍게 행동하는	-1	nega
거볍게 행동하다	-1	nega
거볍고 온화하게	2	posi
거부감	-2	nega
거부감 없이	2	posi
거부하거나	-2	nega
거부하다	-1	nega
거북스럽게	-2	nega
거북스럽게 저는	-2	nega
거북스럽게 절다	-2	nega
거북하거나	-2	nega
거북하거나 괴로움	-2	nega
거북하거나 괴롭다	-2	nega
거북하거나 더럽고	-2	nega
거북하게	-2	nega
거북하고	-2	nega
거북하고 불편한	-2	nega
거북하고 주체스럽게	-2	nega
거북하다	-2	nega
거북한	-2	nega
거북한 모양	-2	nega
거북한 상태로	-2	nega
거북한 소리가	-2	nega
거북할	-2	nega
거북할 만큼	-2	nega
거세고	-1	nega
거세고 급하다	-1	nega
거슬려	-1	nega
거슬려 불쾌하다	-2	nega
거슬리거나	-1	nega
거슬리거나 마음이	-1	nega
거슬리게	-1	nega
거슬리게 싫다	-1	nega
거슬리는	-1	nega
거슬리는 느낌이	-1	nega
거슬리다	-1	nega
거슬림이 없이	2	posi
거역하다	-1	nega
거역함	-1	nega
거의 없다	-1	nega
거절하거나	-2	nega
거절하거나 싫다는	-2	nega
거절하다	-2	nega
거짓	-2	nega
거짓 없다	1	posi
거짓말	-2	nega
거짓말을	-1	nega
거짓없다	1	posi
거짓으로	-1	nega
거짓으로 감정이나	-1	nega
거짓으로 꾸며서	-1	nega
거짓으로 꾸미는	-1	nega
거짓으로 꾸미다	-1	nega
거짓으로 꾸민	-1	nega
거짓으로 속이다	-1	nega
거짓으로 속임	-1	nega
거짓을 버리고	2	posi
거짓이 없고	2	posi
거짓이 없다	2	posi
거짓이 없이	2	posi
거짓이나	-1	nega
거추장스러워서	-1	nega
거추장스러워서 거슬리거나	-1	nega
거추장스럽거나	-1	nega
거추장스럽거나 성가시어	-1	nega
거추장스럽게	-1	nega
거추장스럽게 걸리거나	-1	nega
거추장스럽다	-1	nega
거추장스레	-1	nega
거치적거리는	-1	nega
거치적거리는 소리	-1	nega
거치적거치적	-1	nega
거치적거치적하다	-1	nega
거친	-2	nega
거친 데가	-2	nega
거친 말로	-2	nega
거친 모양	-2	nega
거친 목소리로	-2	nega
거친 성질이나	-2	nega
거친 소리가	-2	nega
거칠거나 사납게	-2	nega
거칠게	-2	nega
거칠게 나는	-2	nega
거칠게 된	-1	nega
거칠게 말다툼하다	-2	nega
거칠게 말함	-2	nega
거칠게 몰아쉬는	-2	nega
거칠게 몰아쉬다	-2	nega
거칠게 소리가	-2	nega
거칠게 쉬는	-2	nega
거칠게 울려	-2	nega
거칠게 일다	-2	nega
거칠게 잇따라	-2	nega
거칠게 행동하는	-1	nega
거칠게 행동하다	-2	nega
거칠고	-2	nega
거칠고 가쁘게	-2	nega
거칠고 격한	-2	nega
거칠고 깔끄럽게	-2	nega
거칠고 껄끄럽게	-2	nega
거칠고 나쁘다	-2	nega
거칠고 무뚝뚝하다	-2	nega
거칠고 사나우며	-2	nega
거칠고 세차다	-2	nega
거칠고 심하다	-2	nega
거칠고 험하게	-2	nega
거칠고 험한	-2	nega
거칠다	-2	nega
거칠면서	-2	nega
거칠면서 가쁘고	-2	nega
거칠어져	-2	nega
거침새가 없고	2	posi
거침없이	1	posi
거침이 없는	1	posi
걱정	-2	nega
걱정 같은	-1	nega
걱정 따위로	-1	nega
걱정 없이	2	posi
걱정거리	-1	nega
걱정과	-1	nega
걱정과 근심	-1	nega
걱정되거나	-1	nega
걱정스러워서	-1	nega
걱정스럽거나	-1	nega
걱정스럽거나 조바심이	-1	nega
걱정스럽다	-1	nega
걱정으로	-1	nega
걱정을	-1	nega
걱정이	-1	nega
걱정이 되거나	-1	nega
걱정이 되는	-1	nega
걱정이 되어	-1	nega
걱정이 없고	2	posi
걱정이 없는	1	posi
걱정이나	-1	nega
걱정이나 근심	-1	nega
걱정이나 근심에	-1	nega
걱정이나 언짢은	-2	nega
걱정인 해를	-1	nega
걱정하기는	-1	nega
걱정하기는 하나	-1	nega
걱정하는	-1	nega
걱정하는 게	-1	nega
걱정하다	-1	nega
건강에 긍정적인	1	posi
건강에 좋은	2	posi
건강에 해로운	-2	nega
건강하고	2	posi
건강하고 온전하다	2	posi
건강하고 온전한	2	posi
건강하다	2	posi
건강하여	2	posi
건강하여 아름다운	2	posi
건강하지 못하다	-1	nega
건강한	2	posi
건달처럼	-1	nega
건둥건둥	1	posi
건둥건둥하다	1	posi
건둥반둥하다	-1	nega
건드려 귀찮게	-1	nega
건들거리고	-1	nega
건들거리고 벙글거리며	-1	nega
건들건들	-1	nega
건들건들 지내다	-1	nega
건들대다	-1	nega
건망증이	-1	nega
건망증이 심하며	-1	nega
건방져	-2	nega
건방지게	-2	nega
건방지게 행동하다	-2	nega
건방지네	-2	nega
건방지다	-2	nega
건방지며	-2	nega
건방진	-1	nega
건방짐	-2	nega
건성 기침	-1	nega
건성으로	-1	nega
건성으로 묻다	-1	nega
건장하다	2	posi
건장한	2	posi
건장한 모양	2	posi
건전하고	2	posi
건전하고 착실한	2	posi
건전하지 못하고	-1	nega
건전하지 못한	-1	nega
건전하지 아니하게	-1	nega
건전한	2	posi
건전함	2	posi
건정히	2	posi
걷지 못하고	-1	nega
걷지 못하는	-1	nega
걸리거나	-1	nega
걸리거나 막히는	-1	nega
걸리다	-1	nega
걸리적대다	-1	nega
걸핏하면	-1	nega
검사에 불합격한	-2	nega
검소하다	1	posi
검소한	2	posi
검은 티끌이라는	-1	nega
검질기게 구는	-1	nega
검질기게 굴다	-1	nega
겁	-1	nega
겁나게	-1	nega
겁나게 하기	-1	nega
겁나다	-1	nega
겁내다	-1	nega
겁에	-1	nega
겁에 지리다	-2	nega
겁에 질려	-2	nega
겁에 질려서	-2	nega
겁에 질리거나	-2	nega
겁을	-1	nega
겁을 내거나	-1	nega
겁을 내다	-1	nega
겁을 먹거나	-1	nega
겁을 먹어	-1	nega
겁을 주며	-1	nega
겁이 나거나	-1	nega
겁이 나서	-1	nega
겁이 많고	-2	nega
겁이 많다	-2	nega
겁이 많아	-2	nega
겁이 많은	-2	nega
겁이 많음	-2	nega
겁자기 부서지거나	-1	nega
겁쟁이	-2	nega
것같이 아프다	-1	nega
것보다 낫다	2	posi
것을 샘하여	-1	nega
것을 짓밟다	-1	nega
것이 거북하거나	-1	nega
것이 깨끗하고	2	posi
것이 해결되어	2	posi
겉만 그럴듯한	-1	nega
겉면이 매끄럽고	1	posi
겉모양의 아름다움과	1	posi
겉치레	-1	nega
게걸스럽게	-2	nega
게걸스럽게 돌아다니는	-2	nega
게걸스럽게 돌아다니다	-2	nega
게우는	-1	nega
게우는 소리	-1	nega
게우는 소리가	-1	nega
게울	-1	nega
게울 듯이	-1	nega
게워	-1	nega
게워 내는	-1	nega
게워 내다	-1	nega
게으르거나	-1	nega
게으르게	-1	nega
게으르게 놀며	-1	nega
게으르게 행동하는	-1	nega
게으르게 행동하다	-1	nega
게으르고	-1	nega
게으르다	-1	nega
게으름	-1	nega
게으름을	-1	nega
게으름을 피우며	-1	nega
게으름이	-1	nega
게으름이 나는	-1	nega
게으름이나	-1	nega
게으름이나 싫증	-1	nega
게을러빠지다	-2	nega
게을러터지다	-2	nega
게을리하지 않고	2	posi
겐트위한	-1	nega
겨를이 없음	-1	nega
겨우 빠듯하게	-1	nega
겨우겨우	-1	nega
겨우겨우 살기를	-1	nega
겨운	-1	nega
겨운 일에	-1	nega
격노	-2	nega
격노하다	-2	nega
격려되다	1	posi
격려하다	1	posi
격분	-2	nega
격분하다	-2	nega
격식에 맞아	1	posi
격식을 갖추지 않고	-1	nega
격에 어울리지	-1	nega
격하게	-2	nega
격하게 되다	-2	nega
격하시키다	-2	nega
격한	-2	nega
격한 감정이	-2	nega
격한 기운이	-2	nega
격한 느낌이	-2	nega
겪거나 불쌍한	-1	nega
견고하다	1	posi
견디기 어렵게	-2	nega
견디기가 어려울	-2	nega
견디어 내다	1	posi
견딜 수 없는	-2	nega
견줄 수 없을 정도로	1	posi
결기가	-1	nega
결기가 나다	-1	nega
결단성 없다	-1	nega
결단성 없이	-1	nega
결단성이 없고	-1	nega
결단성이 없다	-1	nega
결단을 못 내리는	-1	nega
결딴날	-2	nega
결딴날 듯이	-2	nega
결막염	-1	nega
결석	-2	nega
결석하다	-2	nega
결심 없이	-1	nega
결점	-1	nega
결점이 없도록	1	posi
결정을 못하고	-1	nega
결정하지 못하고	-1	nega
결정하지 못하는	-1	nega
결정하지 못하다	-1	nega
결정하지 못함	-1	nega
결핍	-2	nega
결핍증	-2	nega
결함	-1	nega
결함을	-1	nega
결함을 드러내어	-1	nega
결함을 들추어	-1	nega
결함을 풍자하였다	-1	nega
결함이 없이	2	posi
결함이 있다	-1	nega
결함이나	-1	nega
결함이나 잘못	-1	nega
결함이나 잘못에	-1	nega
결핵	-1	nega
겸손하게	1	posi
겸손하게 이르는	1	posi
겸손하고	1	posi
겸손하고 예의	2	posi
겸손하고 예의 바른	2	posi
겸손하다	2	posi
겸손한	2	posi
겸연쩍고	-1	nega
겸연쩍다	-1	nega
겹거나	-2	nega
겹게	-2	nega
겹게 여기다	-2	nega
경건하다	2	posi
경건한	1	posi
경련	-1	nega
경련을 일으키다	-2	nega
경련이	-1	nega
경련이 일어나	-2	nega
경망스러우며	-1	nega
경망스러우며 추잡하다	-2	nega
경망스러운	-1	nega
경망스러운 여자를	-1	nega
경망스럽게	-1	nega
경망스럽게 까부는	-1	nega
경망스럽게 내어	-1	nega
경망스럽게 내흔들거나	-2	nega
경망스럽게 놀려	-1	nega
경망스럽게 덤비며	-1	nega
경망스럽게 떠벌리는	-1	nega
경망스럽게 이리저리	-1	nega
경망스럽게 추켰다	-1	nega
경망스럽게 행동하는	-1	nega
경망스럽게 행동하다	-1	nega
경망스럽고	-1	nega
경망스럽고 가볍게	-1	nega
경망스럽고 방정맞은	-1	nega
경망스럽다	-2	nega
경망하게	-1	nega
경망하게 행동하는	-1	nega
경망하게 행동하다	-1	nega
경망한	-1	nega
경망한 짓	-1	nega
경멸	-2	nega
경멸하다	-2	nega
경멸히	-2	nega
경멸히 여겨	-2	nega
경박스럽게	-1	nega
경박스럽게 함부로	-2	nega
경박하게	-1	nega
경박하다	-1	nega
경박한	-1	nega
경박한 행동을	-1	nega
경사스러운	2	posi
경사스러운 일을	2	posi
경상	-2	nega
경솔하게	-1	nega
경솔하게 까부는	-1	nega
경솔하게 말하며	-1	nega
경솔하게 행동하는	-1	nega
경솔하게 행동하다	-1	nega
경솔하게 행동하여	-1	nega
경솔하고	-1	nega
경솔하고 방정맞게	-2	nega
경솔하다	-1	nega
경솔한	-1	nega
경솔한 모양	-1	nega
경이로운	2	posi
경이롭다	2	posi
경치 좋은	2	posi
경치가 뛰어나거나	2	posi
경치가 맑고	2	posi
경치가 아름다움을	2	posi
경치가 아름답다	2	posi
경치가 좋거나	2	posi
경치도 좋음	2	posi
경치를 즐기는	2	posi
경쾌하다	2	posi
경험이 많고	1	posi
경험이 적거나	-1	nega
경황이 없어	-1	nega
계급을 올림	2	posi
계급이 오름	2	posi
계속 게워	-1	nega
계속 공허하다	-1	nega
계속 공허한	-1	nega
계속 까부는	-1	nega
계속 까불다	-1	nega
계속 놀리다	-1	nega
계속 다투다	-1	nega
계속 떠들어	-1	nega
계속 밉살스럽게	-1	nega
계속 부정하다	-2	nega
계속 불평을	-2	nega
계속 서운하다	-1	nega
계속 서운한	-1	nega
계속 성을	-1	nega
계속 아첨하는	-1	nega
계속 어지럽고	-1	nega
계속 쩔쩔매거나	-1	nega
계속 토할	-1	nega
계속 헤프게	-1	nega
계속 흥겹게	2	posi
고결 함	2	posi
고결한 풍채를	2	posi
고귀한	2	posi
고귀한 사람	2	posi
고급	2	posi
고급스럽다	2	posi
고급지다	2	posi
고까워하는	-1	nega
고까워하는 데가	-1	nega
고까워하는 태도가	-1	nega
고까워하는 태도를	-1	nega
고난	-2	nega
고단하다	-2	nega
고단하여	-2	nega
고달프다	-2	nega
고도화	-2	nega
고도화되다	-2	nega
고되다	-2	nega
고르고	2	posi
고르고 반듯하게	2	posi
고르고 야무지다	2	posi
고르다	2	posi
고르지 못하거나	-1	nega
고르지 못한	-1	nega
고르지 아니하게	-1	nega
고르지 아니하고	-1	nega
고르지 않고	-1	nega
고름	-1	nega
고름이 나오는	-1	nega
고름이 생기는	-1	nega
고름이 생기다	-1	nega
고름집	-1	nega
고리게	-1	nega
고마운	2	posi
고마운 마음	2	posi
고마운 마음이	2	posi
고마움	2	posi
고마움을	2	posi
고마움을 깊이	2	posi
고마움을 나타내거나	2	posi
고마움을 나타내는	2	posi
고마워하다	2	posi
고맙게	2	posi
고맙게 베풀어	2	posi
고맙게 여기는	2	posi
고맙게 여기다	2	posi
고맙게 여김	2	posi
고맙다	2	posi
고백	2	posi
고분고분하게	2	posi
고분고분하고	2	posi
고분고분하고 온순하게	2	posi
고분고분하고 온순하다	2	posi
고분고분하다	2	posi
고분고분하지 못하고	-1	nega
고비를	-1	nega
고상하고	1	posi
고상하다	2	posi
고상한	2	posi
고상한 기질과	2	posi
고상한 남자	1	posi
고상한 이야기	1	posi
고상한 인품을	2	posi
고상한 풍채	2	posi
고생스러운	-2	nega
고생을	-1	nega
고생을 격다	-1	nega
고생을 하다	-1	nega
고생이나	-1	nega
고생하거나	-1	nega
고생하거나 두려워하여	-2	nega
고생하다	-1	nega
고성능	2	posi
고소 공포증	-1	nega
고약하게	-2	nega
고약하다	-2	nega
고약함	-2	nega
고약해서	-2	nega
고열	-1	nega
고열 따위로	-1	nega
고요하게	1	posi
고요하게 함	1	posi
고요하고	1	posi
고요하고 아름다운	2	posi
고요함	1	posi
고요해짐	1	posi
고운	2	posi
고운 빛깔	2	posi
고움	2	posi
고자질함	-1	nega
고작	-1	nega
고장나다	-1	nega
고지혈증	-1	nega
고질병	-1	nega
고집	-1	nega
고집스레	-1	nega
고집스레 싫다고	-1	nega
고집을	-1	nega
고집을 부리거나	-1	nega
고집을 부리는	-1	nega
고집을 부림	-1	nega
고집이	-1	nega
고집이 세어	-1	nega
고집이 센	-1	nega
고집이 있는	-1	nega
고쳐	1	posi
고쳐 세우다	1	posi
고쳐 지음	1	posi
고쳐 짓다	1	posi
고충	-2	nega
고치기 어려운	-1	nega
고치긱 어려운	-1	nega
고치다	1	posi
고치어 바로잡다	2	posi
고타분히	-1	nega
고통	-2	nega
고통스러운	-2	nega
고통스러운 상태	-2	nega
고통스러운 일이나	-2	nega
고통스럽거나	-2	nega
고통스럽게	-2	nega
고통스럽게 일함	-2	nega
고통스럽다	-2	nega
고통을	-2	nega
고통을 당하여	-2	nega
고통을 이른다	-2	nega
고통을 주다	-2	nega
고통을 주며	-2	nega
고통이	-2	nega
고통이 지속되는	-2	nega
고통이나	-2	nega
고통이나 곤란에	-2	nega
고통이나 시달림으로	-2	nega
고통이나 어려운	-2	nega
고통이라는	-2	nega
고통이라는 뜻으로	-2	nega
고품질	2	posi
고한	-2	nega
고함	-1	nega
고함을 지르면서	-1	nega
고혈압	-1	nega
곤궁하고	-2	nega
곤궁하다	-2	nega
곤궁하여	-1	nega
곤궁함	-1	nega
곤란에	-1	nega
곤란에 대하여	-1	nega
곤란이나	-1	nega
곤란이나 시련이	-1	nega
곤란하게	-1	nega
곤란하게 되다	-1	nega
곤란하다	-1	nega
곤란하여 지는	-1	nega
곤란한	-1	nega
곤란한 병	-1	nega
곤란한 사정을	-1	nega
곤란한 상태를	-1	nega
곤장으로 치던	-1	nega
곤혹스러운	-2	nega
곤혹스럽다	-2	nega
곧게	1	posi
